Periodo,Salario
1940.07,805.981425671937
1940.08,803.730978930926
1940.09,803.00827148659
1940.10,790.440271174907
1940.11,772.668886778994
1940.12,786.111391574923
1941.01,765.742637419561
1941.02,734.24358751516
1941.03,759.614719134249
1941.04,750.310864415497
1941.05,723.121496159883
1941.06,705.277963678811
1941.07,716.454656317362
1941.08,706.981109450721
1941.09,701.231015126681
1941.10,711.11552086673
1941.11,697.240436186614
1941.12,706.423947504171
1942.01,712.911441622936
1942.02,709.364618530289
1942.03,710.57259193658
1942.04,677.962591295277
1942.05,665.321483116073
1942.06,642.388223535841
1942.07,624.162673470502
1942.08,616.091869973847
1942.09,603.5382738772
1942.10,610.868698256275
1942.11,609.163041739403
1942.12,610.444976189401
1943.01,599.356874020033
1943.02,591.081729802793
1943.03,591.910404368907
1943.04,574.057224681321
1943.05,571.770144104901
1943.06,574.47015382789
1943.07,696.631443815352
1943.08,695.310354142481
1943.09,681.142588305719
1943.10,653.750444673886
1943.11,652.96688441259
1943.12,810.794419098728
1944.01,734.082769668382
1944.02,724.549264318198
1944.03,702.419139171453
1944.04,698.672459778613
1944.05,681.600890924003
1944.06,672.172224829492
1944.07,674.429323013206
1944.08,670.974553607114
1944.09,669.781142796036
1944.10,633.980606278423
1944.11,612.083649308476
1944.12,587.266215734706
1945.01,581.14888319702
1945.02,585.440290749811
1945.03,572.643141175491
1945.04,578.581865895283
1945.05,578.581865895283
1945.06,584.644993621279
1945.07,580.253402754737
1945.08,572.643141175491
1945.09,574.28055463515
1945.10,561.124195786355
1945.11,557.077629517929
1945.12,553.190519788746
1946.01,538.651138373074
1946.02,537.210343582261
1946.03,538.651138373074
1946.04,532.745499112775
1946.05,527.060152699076
1946.06,517.286409763734
1946.07,509.845569728596
1946.08,480.337380494896
1946.09,462.138000428897
1946.10,445.26699824389
1946.11,433.416161310558
1946.12,424.91918413139
1947.01,402.172819407532
1947.02,396.09209299952
1947.03,390.141969970574
1947.04,389.335183322417
1947.05,394.846364666106
1947.06,403.033746759503
1947.07,419.943656308395
1947.08,420.823640374759
1947.09,412.808669474221
1947.10,408.942188930791
1947.11,407.228412845645
1947.12,401.369033785828
1948.01,395.26053603317
1948.02,394.245746466975
1948.03,393.740303202273
1948.04,392.733294754186
1948.05,390.238165816739
1948.06,387.285544133384
1948.07,386.311240877702
1948.08,384.858942979666
1948.09,383.41752371757
1948.10,381.986861315639
1948.11,381.039003098974
1948.12,379.626003087483
1949.01,375.908735003395
1949.02,372.71533555555
1949.03,369.131534252131
1949.04,365.615995830683
1949.05,362.594376030429
1949.06,359.201680114355
1949.07,357.945730183885
1949.08,357.113298253225
1949.09,355.871884701939
1949.10,353.821931449048
1949.11,351.795459905811
1949.12,349.79206890407
1950.01,348.600949486689
1950.02,347.811366362144
1950.03,346.633675505388
1950.04,346.633675505388
1950.05,354.63907216833
1950.06,354.63907216833
1950.07,345.463933068361
1950.08,344.688480917815
1950.09,343.531808163057
1950.10,340.484962857842
1950.11,337.862966444195
1950.12,334.915416028106
1951.01,328.467846521683
1951.02,321.926034064752
1951.03,315.964440841331
1951.04,309.191957723655
1951.05,307.732902302378
1951.06,303.775901580389
1951.07,302.280941434816
1951.08,300.800623406242
1951.09,299.334733428629
1951.10,296.445402024878
1951.11,293.330884907138
1951.12,290.555758276039
1952.01,888.950079109769
1952.02,862.851010950853
1952.03,837.516870732952
1952.04,824.828234245193
1952.05,826.102671472537
1952.06,820.511452037867
1952.07,817.055211717572
1952.08,813.627966701978
1952.09,810.229353641402
1952.10,803.516600090106
1952.11,796.914162948856
1952.12,789.775681033191
1953.01,776.496826508213
1953.02,763.657115203747
1953.03,744.964927288842
1953.04,743.745810052729
1953.05,736.404355587516
1953.06,729.755106327132
1953.07,721.074004690527
1953.08,713.120982579969
1953.09,704.828878131365
1953.10,703.295530318171
1953.11,701.768839586656
1953.12,700.754722766444
1954.01,680.592657058778
1954.02,660.65704108226
1954.03,643.132981637108
1954.04,634.299892942288
1954.05,625.706152457263
1954.06,617.735373445069
1954.07,1219.16346487588
1954.08,1203.28106241782
1954.09,1187.80714795929
1954.10,1172.72616240479
1954.11,1158.02332693583
1954.12,1144.35933487759
1955.01,1110.29712227677
1955.02,1077.60504034307
1955.03,1048.48057979325
1955.04,1038.37744786805
1955.05,1027.92213705221
1955.06,1018.20948693833
1955.07,1008.67866490771
1955.08,999.324612373786
1955.09,990.142456670505
1955.10,975.698728680845
1955.11,961.670338432087
1955.12,948.503213993897
1956.01,919.28392067181
1956.02,890.99176509762
1956.03,866.319371423635
1956.04,855.619352720564
1956.05,844.812313857805
1956.06,834.63385224506
1956.07,819.817866702248
1956.08,1275.40463661866
1956.09,1254.05241526245
1956.10,1234.39484122899
1956.11,1215.3440304621
1956.12,1197.33893371452
1957.01,1157.62320579636
1957.02,1119.23264029801
1957.03,1085.22062366704
1957.04,1079.49889805896
1957.05,1073.83719055165
1957.06,1067.8631310771
1957.07,1066.00984553201
1957.08,1064.16298162777
1957.09,1061.95517461194
1957.10,1057.20287951041
1957.11,1052.49292836797
1957.12,1047.82475775426
1958.01,1026.11906614692
1958.02,1004.96543356601
1958.03,985.298160082686
1958.04,973.122422363033
1958.05,961.243932700386
1958.06,949.651937222552
1958.07,940.635333836978
1958.08,931.788338888875
1958.09,923.10621129478
1958.10,910.247292524521
1958.11,897.741702711994
1958.12,885.830506194904
1959.01,1331.83814379121
1959.02,1271.09375663009
1959.03,1215.95353097888
1959.04,1194.97848239127
1959.05,1174.71479688561
1959.06,1155.1268893625
1959.07,1140.99357212795
