Periodo,Pib
1990.01,0.2
1990.02,0.4
1990.03,0.8
1990.04,0.7
1990.05,0.8
1990.06,0.8
1990.07,0.9
1990.08,1
1990.09,1.1
1990.10,1.4
1990.11,1.7
1990.12,1.8
1991.01,2.1
1991.02,2.4
1991.03,2.5
1991.04,3.1
1991.05,3.6
1991.06,4.1
1991.07,4.6
1991.08,5.3
1991.09,5.6
1991.10,7.5
1991.11,9.2
1991.12,10.5
1992.01,13.1
1992.02,16.3
1992.03,19.6
1992.04,23.6
1992.05,30.1
1992.06,37.5
1992.07,46.1
1992.08,56.7
1992.09,70.8
1992.10,89
1992.11,110.4
1992.12,127.7
1993.01,164
1993.02,206.9
1993.03,294.6
1993.04,368.1
1993.05,481.6
1993.06,613.5
1993.07,841.4
1993.08,1149.5
1993.09,1578.4
1993.10,2071.3
1993.11,2792.8
1993.12,3534.9
1994.01,4562.8
1994.02,5793
1994.03,8520.4
1994.04,12828.8
1994.05,20504.2
1994.06,33126.6
1994.07,40788
1994.08,43873.4
1994.09,43836.2
1994.10,45234.9
1994.11,45926.2
1994.12,44210.2
1995.01,47028.6
1995.02,49954.5
1995.03,60024.3
1995.04,57789.5
1995.05,56350.5
1995.06,56726.2
1995.07,58788.1
1995.08,60950.3
1995.09,60610.8
1995.10,63428.1
1995.11,67762.9
1995.12,66577.7
1996.01,64133.3
1996.02,62202.2
1996.03,62987.8
1996.04,64019.1
1996.05,69488.7
1996.06,71103
1996.07,74969.9
1996.08,74798.8
1996.09,71744.6
1996.10,77200.1
1996.11,80449.1
1996.12,81667.1
1997.01,77582.6
1997.02,71072.8
1997.03,70461.6
1997.04,73576.4
1997.05,78110.8
1997.06,81202.4
1997.07,82058.7
1997.08,82132.5
1997.09,81987.3
1997.10,87297.2
1997.11,85390.1
1997.12,81216.8
1998.01,79363.9
1998.02,75828.1
1998.03,80508.7
1998.04,81166.1
1998.05,85207.5
1998.06,85562.4
1998.07,86938.5
1998.08,86371.3
1998.09,84733.5
1998.10,87302.8
1998.11,86316.5
1998.12,83051.8
1999.01,80936.3
1999.02,80929.1
1999.03,88802.6
1999.04,87739
1999.05,89223
1999.06,91746.9
1999.07,91230.4
1999.08,92283.4
1999.09,90611.8
1999.10,95872.4
1999.11,99563.1
1999.12,98772.5
2000.01,92576.6
2000.02,91770.4
2000.03,92579.9
2000.04,91376.2
2000.05,98727
2000.06,102685.4
2000.07,103410.4
2000.08,105177.8
2000.09,100307.6
2000.10,106951.1
2000.11,107678
2000.12,105851.6
2001.01,102530.7
2001.02,101635.3
2001.03,108303.8
2001.04,107572
2001.05,111202.2
2001.06,104949.4
2001.07,110758.9
2001.08,113064.7
2001.09,108700.8
2001.10,116139
2001.11,117882
2001.12,113016.7
2002.01,112374.8
2002.02,111477.1
2002.03,118444.7
2002.04,120385.9
2002.05,123552.5
2002.06,123424.4
2002.07,126856.6
2002.08,127800.1
2002.09,125137.8
2002.10,133125.4
2002.11,135966.6
2002.12,130241.2
2003.01,127177.5
2003.02,131373.6
2003.03,138690.5
2003.04,141388.1
2003.05,139605.8
2003.06,137993.4
2003.07,145970.6
2003.08,144819.4
2003.09,148559.8
2003.10,154925.9
2003.11,153644.4
2003.12,153801.4
